iter	Passed	Remaining
409	4988	1095
410	5000	1082
411	5012	1070
412	5023	1058
413	5034	1045
414	5046	1033
415	5058	1021
416	5069	1009
417	5080	996
418	5092	984
419	5103	972
420	5115	959
421	5126	947
422	5138	935
423	5149	923
424	5160	910
425	5172	898
426	5184	886
427	5196	874
428	5207	861
429	5219	849
430	5232	837
431	5244	825
432	5256	813
433	5268	801
434	5279	788
435	5291	776
436	5303	764
437	5314	752
438	5325	740
439	5337	727
440	5348	715
441	5360	703
442	5371	691
443	5383	678
444	5394	666
445	5406	654
446	5417	642
447	5429	630
448	5441	618
449	5452	605
450	5464	593
451	5475	581
452	5487	569
453	5498	557
454	5510	544
455	5521	532
456	5533	520
457	5544	508
458	5556	496
459	5567	484
460	5578	471
461	5591	459
462	5602	447
463	5613	435
464	5625	423
465	5637	411
466	5648	399
467	5659	386
468	5671	374
469	5682	362
470	5694	350
471	5706	338
472	5717	326
473	5728	314
474	5740	302
475	5751	290
476	5763	277
477	5775	265
478	5786	253
479	5797	241
480	5809	229
481	5820	217
482	5832	205
483	5844	193
484	5855	181
485	5867	169
486	5878	156
487	5889	144
488	5901	132
489	5912	120
490	5924	108
491	5935	96
492	5946	84
493	5959	72
494	5972	60
495	5983	48
496	5995	36
497	6008	24
498	6019	12
499	6031	0
