iter	Logloss
0	0.6929449717
1	0.6927435557
2	0.6925514221
3	0.6923543294
4	0.6921609243
5	0.6919785817
6	0.691787974
7	0.6916086197
8	0.6914281845
9	0.691258812
10	0.6910809835
11	0.6909141541
12	0.6907430013
13	0.6905797958
14	0.69041996
15	0.6902587891
16	0.6901038488
17	0.6899522781
18	0.6897961934
19	0.6896507263
20	0.6895021439
21	0.68935407
22	0.689207077
23	0.6890721639
24	0.6889326731
25	0.6887930552
26	0.6886620839
27	0.6885342916
28	0.6884031932
29	0.6882792791
30	0.6881551107
31	0.6880320867
32	0.6879026413
33	0.6877864202
34	0.6876696269
35	0.687554423
36	0.6874427795
37	0.6873293559
38	0.6872183482
39	0.6871084213
40	0.6870067596
41	0.6868970235
42	0.6867939631
43	0.6866966883
44	0.6865942001
45	0.6864952723
46	0.6863986969
47	0.6863014221
48	0.6862091064
49	0.6861164093
